player,transfermarkt_id,transfermarkt_name,tm_market_value
Gustavo Ruben Caballero,891672,Gustavo Caballero,1000000.0
Isidro Miguel Pitta,675178,Isidro Pitta,7500000.0
Alexandro Maidana,1371519,Alexandro Maidana,2500000.0
Mathew David Ryan,128969,Mathew Ryan,1800000.0
Milos Degenek,187353,Milos Degenek,450000.0
Alessandro Circati,867137,Alessandro Circati,12000000.0
Jacob Michael Italiano,545810,Jacob Italiano,600000.0
Jordan Jacob Bos,855731,Jordan Bos,12000000.0
Jason Kato Geria,185175,Jason Geria,350000.0
Mathew Allan Leckie,126214,Mathew Leckie,300000.0
Connor Isaac Metcalfe,522223,Connor Metcalfe,1500000.0
Mohamed Toure,742770,Mohamed Touré,8000000.0
Ajdin Hrustic,265625,Ajdin Hrustic,600000.0
Awer Bul Mabil,255729,Awer Mabil,500000.0
Paul David Izzo,181921,Paul Izzo,500000.0
Cameron Peter Devlin,399162,Cammy Devlin,2000000.0
Kai Clifton Trewin,691326,Kai Trewin,1800000.0
Aziz Behich,136834,Aziz Behich,250000.0
Nestory Irankunda,956920,Nestory Irankunda,8000000.0
Patrick Thomas Beach,983578,Patrick Beach,1000000.0
Harry James Souttar,298091,Harry Souttar,3500000.0
Cristian Volpato,746891,Cristian Volpato,10000000.0
Cameron Robert Burgess,255788,Cameron Burgess,1500000.0
Jackson Alexander Irvine,192557,Jackson Irvine,1000000.0
Nishan Matthew Velupillay,888140,Nishan Velupillay,650000.0
Paul Michael Junior Okon-Engstler,1064377,Paul Okon-Engstler,1200000.0
Lucas Herrington,1279984,Lucas Herrington,4500000.0
Fehmi Mert Gunok,51894,Mert Günok,500000.0
Mehmet Zeki Celik,251075,Zeki Çelik,14000000.0
Merih Demiral,340879,Merih Demiral,12000000.0
Salih Ozcan,244940,Salih Özcan,3500000.0
Orkun Kokcu,454567,Orkun Kökçü,25000000.0
Muhammed Kerem Akturkoglu,382528,Kerem Aktürkoğlu,20000000.0
Arda Guler,861410,Arda Güler,90000000.0
Deniz Daniel Gul,1063292,Deniz Gül,5000000.0
Hakan Calhanoglu,126414,Hakan Çalhanoğlu,16000000.0
Kenan Yildiz,845654,Kenan Yıldız,75000000.0
Altay Bayindir,336077,Altay Bayındır,5000000.0
Evren Eren Elmali,616894,Eren Elmalı,5000000.0
Ozan Muhammed Kabak,361260,Ozan Kabak,15000000.0
Mert Muldur,353922,Mert Müldür,7000000.0
Yunus Akgun,396908,Yunus Akgün,18000000.0
Ferdi Erenay Kadioglu,369316,Ferdi Kadıoğlu,35000000.0
Kaan Ayhan,119031,Kaan Ayhan,1500000.0
Ugurcan Cakir,292199,Uğurcan Çakır,15000000.0
Oguz Aydin,563749,Oğuz Aydın,7000000.0
Samet Akaydin,295024,Samet Akaydin,1200000.0
Can Yılmaz Uzun,816585,Can Uzun,45000000.0
Manuel Peter Neuer,17259,Manuel Neuer,4000000.0
Antonio Ruediger,86202,Antonio Rüdiger,6000000.0
Waldemar Anton,193004,Waldemar Anton,18000000.0
Jonathan Glao Tah,196357,Jonathan Tah,28000000.0
Aleksandar Pavlovic,792380,Aleksandar Pavlovic,90000000.0
Joshua Walter Kimmich,161056,Joshua Kimmich,35000000.0
Kai Lukas Havertz,309400,Kai Havertz,55000000.0
Leon Christoph Goretzka,153084,Leon Goretzka,12000000.0
Jamal Musiala,580195,Jamal Musiala,100000000.0
Nick Woltemade,455661,Nick Woltemade,55000000.0
Oliver Baumann,55089,Oliver Baumann,2500000.0
Maximilian Beier,578392,Maximilian Beier,40000000.0
Nico Cédric Schlotterbeck,388198,Nico Schlotterbeck,55000000.0
Florian Richard Wirtz,598577,Florian Wirtz,100000000.0
Leroy Aziz Sane,192565,Leroy Sané,20000000.0
Nadiem Amiri,232454,Nadiem Amiri,17000000.0
Alexander Nuebel,195778,Alexander Nübel,12000000.0
Felix Kalu Nmecha,406640,Felix Nmecha,50000000.0
Malick Thiaw,521964,Malick Thiaw,45000000.0
Forzan Assan Ouedraogo,897424,Assan Ouédraogo,28000000.0
Deniz Undav,339314,Deniz Undav,22000000.0
Eloy Victor Room,79294,Eloy Room,150000.0
Shurandy Ruggerio Sambo,412937,Shurandy Sambo,1300000.0
Juriën Godfried Juan Gaari,328455,Juriën Gaari,350000.0
Róshón Felix Romar Jordan Van Eijma,401029,Roshon van Eijma,375000.0
Sherel Constancio Floranus,315211,Sherel Floranus,800000.0
Godfried Roemeratoe,393241,Godfried Roemeratoe,350000.0
Juninho Gracielo Bacuna,348863,Juninho Bacuna,1700000.0
Livano Shyron Liomar Comenencia,626764,Livano Comenencia,500000.0
Jürgen Leonardo Locadia,166240,Jürgen Locadia,200000.0
Leandro Jones Johan Bacuna,126014,Leandro Bacuna,250000.0
Jeremy Cornelis Jacobus Antonisse,594273,Jeremy Antonisse,800000.0
Juniffer Naigelino Hansen,485582,Sontje Hansen,3500000.0
Kenji Joël Gorre,374889,Kenji Gorré,600000.0
Jainel Archenir Martha,572519,Ar'jany Martha,700000.0
Jearl Erwin Margaritha,538958,Jearl Margaritha,1000000.0
Brandley Mack-Olien Kuwas,232219,Brandley Kuwas,250000.0
Armando Maria Obispo,339337,Armando Obispo,4000000.0
Gervane Zjandric Adonnis Kastaneer,240752,Gervane Kastaneer,225000.0
Joshua Benjamin Brenet,207006,Joshua Brenet,1000000.0
Tahith Jose Girigorio Djorkaef Chong,344830,Tahith Chong,3500000.0
Kevin Antonio Felida,433933,Kevin Felida,400000.0
Riechedly Guillermo Bazoer,216443,Riechedly Bazoer,1500000.0
Trevor Irving Doornbusch,390814,Trevor Doornbusch,50000.0
Yahia Fofana,418651,Yahia Fofana,5000000.0
Ousmane Diomande,974982,Ousmane Diomande,42000000.0
Jean Michael Seri,178614,Jean Michaël Seri,100000.0
Wilfried Stephane Singo,648779,Wilfried Singo,23000000.0
Seko Mohamed Fofana,182893,Seko Fofana,8000000.0
Franck Yannick Kessie,294808,Franck Kessié,12000000.0
Simon Adingra,658536,Simon Adingra,22000000.0
Yan Diomande,1390649,Yan Diomande,90000000.0
Elye Delmas Wahi,659542,Elye Wahi,18000000.0
Christopher Tea Domoraud Operi,469976,Christopher Operi,4000000.0
Oumar Diakite,847279,Oumar Diakité,5000000.0
Amad Diallo,536835,Amad Diallo,45000000.0
Mohamed Kone,911985,Mohamed Koné,2000000.0
Ibrahim Sangare,375885,Ibrahim Sangaré,20000000.0
Nicolas Pepe,343052,Nicolas Pépé,6000000.0
Emmanuel Elysee Djedje Agbadou,683895,Emmanuel Agbadou,16000000.0
