feature,catboost,lightgbm,xgboost,mean,catboost_shap
home_goal_diff_10,0.0035012132030550454,0.001460663100144555,0.0032441175108843174,0.002735331271361306,0.0025000059574413207
wins_diff_10,0.0015713664029198807,0.0006251572205457427,0.005993955500202591,0.002730159707889405,0.002421031033941944
losses_diff_3,0.0025679283586689185,0.0012485559196603547,0.004336006092284557,0.00271749679020461,0.0025431153008563605
home_draws_10,0.0033953294985402207,0.0007270521168816637,0.004019846802151926,0.0027140761391912702,0.004528971786368163
away_neutral_played_5,0.0028485482153772328,0.0006677724708779929,0.004591915714994051,0.002702745467083092,0.003304731606007108
home_goals_scored_10,0.0024977563166883937,0.0015081042241629032,0.004003317417307634,0.0026697259860529766,0.0028201702773549054
home_home_played_10,0.0031257328879802796,0.0011260488940934975,0.003686848114196709,0.002646209965423495,0.0018009255924400357
home_ppg_10,0.0021369421825926456,0.0021615888946686164,0.003596713394551632,0.0026317481572709646,0.0015617208597112561
win_pct_diff_3,0.001349933841972214,0.0006041227478038258,0.005870429623257076,0.0026081620710110384,0.0020257544063029234
away_wins_5,0.001520399462242246,0.0002320755881682015,0.006008884850140466,0.0025871199668503044,0.0019283622192780335
home_neutral_played_5,0.003944462011400389,0.0008550608604177203,0.002955343529191151,0.0025849554670030867,0.0034328667640727978
matches_prev_30d_diff,0.0020361939789119727,0.0013115355631098304,0.004393841039532735,0.002580523527184846,0.001576400073159479
away_goals_conceded_3,0.0021289528404782538,0.0014833127583184494,0.004015436016056579,0.0025425672049510938,0.0021947497211488925
goals_scored_diff_3,0.002883262797970028,0.0019060295439660556,0.0028355815628241256,0.0025416246349200694,0.00197781086359347
home_failed_to_score_10,0.0035825804088639554,0.0006424291603777188,0.003334058317038561,0.0025196892954267454,0.003258814885603764
away_ppg_5,0.0022117976304472245,0.0014095608355412746,0.0038752020058053496,0.0024988534905979495,0.001766981165609854
home_failed_to_score_3,0.002815297613814136,0.00044635059875356315,0.004197215245897801,0.0024862878194885,0.002218081050115424
home_away_played_3,0.0032127392541209067,0.0007445817636659998,0.003411131968647833,0.002456150995478246,0.004093343128953035
away_draws_5,0.002110760159929919,0.0005888120431760492,0.004549822565488934,0.0024164649228649673,0.0025402912521447964
ppg_diff_3,0.0020829465988903657,0.0013308333795516328,0.0038168743194048225,0.002410218099282274,0.0014985662151349576
win_pct_diff_5,0.0025048655083718565,0.0007766064501295265,0.0039367145969893,0.0024060621851635607,0.0018576688152198524
away_clean_sheets_5,0.0026902424852208724,0.0003380030618433825,0.004160672248550198,0.002396305931871484,0.0026604564480730607
home_goals_scored_3,0.0023064329441081473,0.0014983464188073165,0.0033790992002113896,0.002394626187708951,0.0015424771354565633
home_matches_prev_30d,0.0023341439672108695,0.0008884994719249216,0.003867339808180203,0.0023633277491053313,0.0022784706048832337
away_away5_win_pct,0.00285660672434785,0.0007346599816406156,0.0034903026206355436,0.00236052310887467,0.0019099307413742218
home_home5_win_pct,0.00206994314883797,0.0011568944675822582,0.0038335285049829596,0.0023534553738010625,0.0029649249437256053
away_home_played_5,0.0018934633378990492,0.0007482320177147062,0.004381797520109727,0.0023411642919078275,0.0014637371036393223
away_wins_3,0.0010548249382679568,7.41476841740704e-05,0.005827294810256327,0.0023187558108994514,0.0028127890143580386
away_avg_goals_scored_5,0.0030162141401892137,0.00044417714004514413,0.0034764121995158655,0.002312267826583408,0.00206536399579375
home_goal_diff_3,0.0021372959451892715,0.0011235555449092883,0.0036377531960302594,0.0022995348953762733,0.002400582161752668
away_matches_in_window_5,0.0009407184804932271,0.00010132152138156128,0.005847338006997341,0.00229645933629071,0.0005911879361153866
home_goals_conceded_5,0.0018090560376210671,0.0008650596017734292,0.004190919024014655,0.0022883448878030506,0.00197429888988831
away_failed_to_score_10,0.002443211233022723,0.0010676236028903854,0.0033515781523283427,0.0022874709960804835,0.0015663374254428102
home_neutral_played_3,0.0021117994111143176,0.000774971037068427,0.003965499563061319,0.0022840900037480213,0.0032325861767287557
away_wins_10,0.0029388717145498043,0.0004892088975448472,0.003423291090344222,0.0022837905674796244,0.0021036655569783135
home_losses_10,0.002763721560547106,0.0007980905344550142,0.0032266605731755375,0.002262824222725886,0.002194217516205626
home_goals_conceded_3,0.001363927353204129,0.001685585091834305,0.0036515262746272792,0.0022336795732219045,0.001346019979216462
away_goals_conceded_5,0.0017999658067465148,0.0008842059696569423,0.003793281759960434,0.002159151178787964,0.001763142965285567
losses_diff_5,0.001504141846018138,0.0006996636911609984,0.004186861757129521,0.002130222431436219,0.0018485060458235418
away_matches_prev_90d,0.0028401847762083644,0.001274268881141746,0.0022385987441225085,0.0021176841338242064,0.0018262853237950682
away_goals_scored_3,0.001627652467510032,0.0010537833635582596,0.003538183342020927,0.0020732063910297396,0.001733870250060287
away_draws_10,0.002588193251059798,0.0007740625925659907,0.002844373302170076,0.002068876381931955,0.0032461961258288697
home_away_played_5,0.002437233986184534,0.0005230867611957744,0.00321570744422791,0.002058676063869406,0.003062027376631791
home_losses_5,0.0014635440279000408,0.00023121252039114528,0.004317659887195376,0.002004138811828854,0.001943710105638996
away_win_pct_5,0.0016603963384747705,0.00023089552772343386,0.004120006849273103,0.002003766238490436,0.0020148314009485473
home_ppg_3,0.0019460273808748184,0.0004983500335365357,0.003553886357065821,0.0019994212571590583,0.0013493174554505217
home_form_diff,0.0013981766803449923,0.0018249557913503837,0.0026325476741382585,0.001951893381944545,0.0012529586257030187
away_losses_3,0.0010336802435634337,0.0003084086856291973,0.004408683874220853,0.0019169242678044945,0.001244645377260611
home_wins_10,0.0006881990886919776,0.0005165177031982789,0.004419372982492499,0.0018746965914609186,0.0007648956309642877
home_avg_goals_scored_5,0.0018991044798349571,0.0004861429538673802,0.0031818073883175544,0.001855684940673297,0.0024550325258571376
home_avg_goals_scored_3,0.0022095889786404002,0.00021269211326909517,0.003134330901978447,0.0018522039979626474,0.002043528216662478
draws_diff_5,0.0016458297728612064,0.0010639836390339314,0.0027810190300372856,0.0018302774806441414,0.0011679282753382198
away_home_played_10,0.0018066322900566387,0.0009673390096238283,0.002662074483616236,0.0018120152610989011,0.0011179847132850688
away_failed_to_score_5,0.0014359865635492136,0.0004987880595905346,0.003434932612184309,0.0017899024117746856,0.0015516748261174829
away_draws_3,0.0014623156458514407,0.000783441248614795,0.003019878436154671,0.0017552117768736355,0.0015959831840287439
home_losses_3,0.0017390999483974043,0.00021727575072968578,0.0032314355685837963,0.0017292704225702956,0.0013345756497283468
home_away5_win_pct,0.0016451454121030357,0.0007252241205629464,0.002705092699915446,0.0016918207441938094,0.0013903321495387284
home_win_pct_3,0.000628579419035473,0.0,0.004446610369743443,0.0016917299295929717,0.0012038648519527315
home_clean_sheets_5,0.0015158198755764677,0.0008174336168260487,0.00255007825534302,0.0016277772492485122,0.0024960120786945484
home_draws_3,0.0010600339749613106,0.000340082169484939,0.0032028870278063707,0.0015343343907508733,0.001744747073472006
home_failed_to_score_5,0.0017799823105694613,0.00035550284417774664,0.0024355181426711273,0.0015236677658061117,0.0017288748944623345
